PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,GPRI_ra_epoch2000,GPRI_dec_epoch2000,GPRI_errHalfMaj,GPRI_errHalfMin,GPRI_errPosAng,GPRI_source_id,GPRI_ra,GPRI_ra_error,GPRI_dec,GPRI_dec_error,GPRI_parallax,GPRI_parallax_error,GPRI_pmra,GPRI_pmra_error,GPRI_pmdec,GPRI_pmdec_error,GPRI_duplicated_source,GPRI_phot_g_mean_flux,GPRI_phot_g_mean_flux_error,GPRI_phot_g_mean_mag,GPRI_phot_bp_mean_flux,GPRI_phot_bp_mean_flux_error,GPRI_phot_bp_mean_mag,GPRI_phot_rp_mean_flux,GPRI_phot_rp_mean_flux_error,GPRI_phot_rp_mean_mag,GPRI_bp_rp,GPRI_radial_velocity,GPRI_radial_velocity_error,GPRI_rv_nb_transits,GPRI_teff_val,GPRI_a_g_val,GPRI_e_bp_min_rp_val,GPRI_radius_val,GPRI_lum_val,angDist,PM_Pri_RA_error,PM_Pri_DEC_error,PM_Sec_RA_error,PM_Sec_DEC_error
PMI00025-4644,02:35.7,0.648583333,-46:44:52.0,-46.74777778,0.15,-0.049,16.69,2.47,PMI00026-4644,02:36.2,0.650875,-46:44:57.9,-46.74941667,0.15,-0.049,20.01,3.06,8.1,0.648546906,-46.7477449,0.001,0.001,0,4.9903E+18,0.649503689,0.0302,-46.74812705,0.0326,2.066,0.0508,152.268,0.057,-88.757,0.062,FALSE,7253.8,3.26856,16.036953,2730.44,9.98431,16.760807,6497.83,10.871,15.23,1.530808,,,0,4373.14,0.045,0.023,0.53,0.091,0.148607,-2.268,39.757,,
PMI00329+1805,32:55.8,8.2325,+18:05:52.9,18.09802778,0.095,-0.065,16.08,2.44,PMI00329+1805-2,32:56.8,8.236875,+18:05:56.5,18.09902778,0.095,-0.065,20.2,4.04,15.4,8.232499327,18.09805273,0.002,0.001,90,2.79481E+18,8.232975593,0.056,18.09775212,0.0342,3.0868,0.0717,105.144,0.109,-69.818,0.063,FALSE,9890.03,4.27048,15.700372,3242.94,13.7176,16.574041,9863.76,12.7306,14.776814,1.797228,,,0,3933,0.0258,0.0132,0.58,0.071,0.089848,-10.144,4.818,,
PMI00422+0731E,42:15.2,10.56345833,+07:31:18.7,7.521861111,0.169,-0.068,15.31,2.14,PMI00422+0731W,42:14.4,10.55979167,+07:31:19.9,7.522194444,0.169,-0.068,18.83,2.91,13.1,10.56346037,7.52183479,0.001,0.001,90,2.55719E+18,10.56417388,0.0392,7.521519353,0.0344,2.4825,0.0537,164.292,0.082,-73.263,0.08,FALSE,26913.2,7.04055,14.613452,12570.5,14.6057,15.103004,20759.5,22.7937,13.968876,1.134128,,,0,5008.91,0.0765,0.032,0.58,0.19,0.095032,4.708,5.263,,
PMI00592+0705N,59:17.8,14.82420833,+07:05:56.4,7.099,0.116,-0.003,14.06,1.48,PMI00592+0705S,59:17.4,14.82241667,+07:05:47.0,7.096388889,0.103,-0.017,19.26,3.51,11.4,14.8241783,7.099005785,0.001,0,90,2.5775E+18,14.82468914,0.0254,7.098953774,0.0181,1.7542,0.0307,117.737,0.053,-12.08,0.032,FALSE,61116.2,14.3229,13.722976,32437.6,28.9747,14.073766,42558.6,61.5617,13.189453,0.884313,,,0,5448.84,0.025,0.0157,1.01,0.806,0.109303,-1.737,9.08,,
NLTT3847,09:29.0,17.37070833,-05:07:25.3,-5.123694444,0.743,0.044,13.43,1.78,NLTT3849,09:29.3,17.37225,-05:07:30.6,-5.125166667,0.743,0.044,15.91,4.19,8,17.37073056,-5.123675502,0.002,0.001,90,2.48291E+18,17.37421788,0.0511,-5.123724501,0.0394,15.7086,0.0571,806.723,0.113,-11.378,0.078,FALSE,33732,15.4252,14.36826,7064.55,24.2544,15.728678,41483.2,47.9533,13.217239,2.511438,,,0,3589,0.1703,0.0975,,,0.104881,-63.723,55.378,,
PMI01227+1409,22:43.3,20.680375,+14:09:34.5,14.15958333,-0.078,-0.14,10.16,1.1,PMI01226+1409E,22:41.1,20.671375,+14:09:28.8,14.158,-0.077,-0.135,19.21,4.2,31.9,20.68038133,14.15953556,0.002,0.002,90,2.59043E+18,20.68004799,0.0774,14.15893541,0.0511,6.033,0.0861,-75.07,0.158,-139.389,0.119,FALSE,1827500,1419.91,10.033722,1000330,1673.28,10.351028,1175630,1284.37,9.586245,0.764783,-30.27,0.4,5,5863.74,0.158,0.0955,1.36,1.973,0.173407,-2.93,-0.611,,
PMI01266-4842W,26:37.3,21.65554167,-48:42:51.0,-48.71416667,0.205,-0.05,13.63,2.09,PMI01266-4842E,26:38.3,21.6595,-48:42:54.9,-48.71525,0.205,-0.05,18.83,4.4,10.2,21.65553537,-48.71416136,0.001,0,0,4.92971E+18,21.65633687,0.0165,-48.71429766,0.0177,6.1195,0.0242,122.828,0.028,-31.655,0.033,FALSE,69295.3,22.3506,13.586606,23525.6,26.3772,14.422537,67195.2,46.9037,12.693574,1.728963,14.87,2.31,16,4188,0.7403,0.3735,0.63,0.109,0.024257,82.172,-18.345,,
NLTT4817,26:55.2,21.729875,+12:00:25.9,12.00719444,-0.014,-0.359,11.12,0.89,NLTT4814,26:54.1,21.72554167,+12:00:06.8,12.00188889,-0.011,-0.364,16.61,2.88,24.4,21.7298813,12.00717596,0.001,0.001,90,2.58641E+18,21.7298277,0.036,12.00563078,0.0269,5.5218,0.0372,-12.177,0.078,-358.886,0.059,FALSE,622482,409.975,11.203049,350423,499.903,11.489907,396373,164.562,10.766659,0.723249,-171.85,0.74,7,6018,0.0323,0.013,0.82,0.797,0.070155,-1.823,-0.114,,
PMI01352+0538N,35:14.7,23.81129167,+05:38:24.7,5.640194444,0.285,-0.035,10.8,1.54,PMI01352+0538S,35:14.2,23.80933333,+05:38:12.0,5.636666667,0.267,-0.026,15.86,2.89,14.4,23.81129075,5.640133055,0.02,0.019,90,2.56197E+18,23.81252299,0.5836,5.640013053,0.5162,8.7968,0.6219,284.811,1.311,-27.872,1.231,FALSE,1109340,337.517,10.575703,541398,698.24,11.017597,808327,1654.78,9.992952,1.024645,15.54,2.3,2,5083.7,0.244,0.12,1.01,0.615,0.221025,0.189,-7.128,,
PMI01430-4959W,43:00.7,25.75283333,-49:59:26.8,-49.99077778,0.021,-0.181,14.09,1.22,PMI01430-4959E,43:01.3,25.75529167,-49:59:22.1,-49.98947222,0.021,-0.181,18.15,2.89,7.4,25.75278415,-49.99078946,0,0,90,4.91754E+18,25.75299541,0.0156,-49.9915265,0.0139,2.8393,0.0207,31.545,0.032,-171.184,0.027,FALSE,38604.1,8.22135,14.221782,18727.3,26.1679,14.6702,28607.7,23.7949,13.620714,1.049486,,,0,5160,0.026,0.012,0.56,0.202,0.121347,-10.545,-9.816,,
PMI02012+0218,01:15.1,30.312875,+02:18:25.8,2.307166667,0.209,-0.024,17.44,2.25,PMI02012+0217,01:17.1,30.32133333,+02:17:29.7,2.291583333,0.209,-0.024,18.87,3.28,63.8,30.31285674,2.307150621,0.003,0.002,90,2.51149E+18,30.31356473,0.0963,2.306900973,0.0671,2.0993,0.1082,164.303,0.163,-57.983,0.129,FALSE,2871.23,3.26796,17.043196,1068.52,13.9709,17.779432,2651.91,11.0606,16.203024,1.576408,,,0,4423,0.0835,0.07,,,0.087476,44.697,33.983,,
PMI02225+1531S,22:34.1,35.64191667,+15:31:09.9,15.51941667,0.188,-0.141,12.67,1.66,PMI02225+1531N,22:33.0,35.6375,+15:31:47.8,15.52994444,0.188,-0.141,18.33,3.46,40.8,35.64192213,15.51940177,0.002,0.001,90,7.63059E+16,35.64277077,0.0438,15.51880446,0.0341,4.806,0.0421,189.917,0.099,-138.733,0.083,FALSE,207675,41.8264,12.394905,101170,174.799,12.838761,153334,107.441,11.797826,1.040936,-55.02,1.52,7,5063.64,0.008,0.0048,0.81,0.387,0.056868,-1.917,-2.267,,
PMI02267-4214,26:48.0,36.69983333,-42:14:58.9,-42.24969444,-0.022,-0.16,13.85,1.54,PMI02267-4215,26:46.8,36.69520833,-42:15:06.8,-42.25188889,-0.022,-0.16,19.25,3.9,14.7,36.69985284,-42.24970863,0,0,0,4.94999E+18,36.69985886,0.0128,-42.25032573,0.0137,3.8931,0.018,1.035,0.025,-143.325,0.026,FALSE,52697,12.0888,13.883901,22493.5,26.4619,14.471246,43308.4,34.3324,13.17049,1.300756,,,0,5009.09,0.122,0.061,0.52,0.151,0.072866,-23.035,-16.675,,
NLTT8753,42:05.1,40.521375,-24:45:16.3,-24.75452778,-0.058,-0.419,16.4,2.42,NLTT8759,42:15.0,40.56241667,-24:44:18.0,-24.73833333,-0.056,-0.418,17.47,3.02,146.3,40.52136379,-24.75453911,0.002,0.001,90,5.077E+18,40.52103366,0.039,-24.75635415,0.0445,5.4771,0.0529,-69.631,0.098,-421.556,0.095,FALSE,6591.2,4.95019,16.140955,2075.21,9.3347,17.058735,6703.75,13.5818,15.196125,1.86261,,,0,3900,0.173,0.093,,,0.054835,11.631,2.556,,
PMI02548+2057W,54:49.4,43.70595833,+20:57:34.8,20.95966667,0.04,-0.115,16.54,2.39,PMI02548+2057E,54:50.0,43.7085,+20:57:32.1,20.95891667,0.036,-0.122,19.86,3.29,8.9,43.70599024,20.95960426,0.002,0.002,90,1.09216E+17,43.70622872,0.0652,20.95906349,0.0478,2.0481,0.0776,51.723,0.114,-125.599,0.104,FALSE,7058.06,5.46043,16.066652,2739.95,14.6389,16.75703,6349.04,17.6432,15.25515,1.501881,,,0,4476,0.046,0.0267,,,0.248962,-11.723,10.599,,
PMI02569-5831N,56:55.7,44.232125,-58:31:24.3,-58.52341667,0.152,-0.098,14.07,2.54,PMI02569-5831S,56:56.8,44.23670833,-58:31:36.6,-58.52683333,0.152,-0.098,20.76,4.77,15,44.23214719,-58.5233956,0,0,0,4.72693E+18,44.23346688,0.0116,-58.52373497,0.012,6.2803,0.0128,160.044,0.023,-78.82,0.023,FALSE,87712.7,27.2256,13.33071,33982.1,40.9602,14.023263,77283.3,51.6573,12.541706,1.481557,18.84,2.29,18,4604.61,0.29,0.133,0.52,0.108,0.086559,-8.044,-19.18,,
PMI03150+0102,15:04.8,48.76983333,+01:02:15.2,1.037555556,0.363,0.117,10.26,1.36,PMI03150+0103,15:00.9,48.75383333,+01:03:08.3,1.052305556,0.353,0.128,14.89,3.27,78.3,48.7698249,1.037553522,0.001,0.001,0,3.26698E+18,48.77138472,0.0393,1.038054551,0.0395,12.9124,0.0458,362.214,0.083,116.366,0.087,FALSE,1821670,510.037,10.037192,937935,1776.69,10.420956,1246190,3614.79,9.522956,0.898,88.72,0.28,7,5372.1,0.0387,0.0145,0.77,0.448,0.031215,0.786,0.634,,
