Stellar JD,Ra,_Dec_,Teff,logg,[M/H],[FeI/H]  stdev,[FeII/H]  stdev,vt,#FeI lines,#FeII lines
PM J00025-4644,02:35.0,-46:44:52.0,,,,,,,,
NLTT 3847,09:28.0,-05:07:25.3,,,,,,,,
PM J02012+0218,01:15.0,18:25.0,,,,,,,,
PM J02267-4214,26:47.0,-42:14:58.9,,,,,,,,
NLTT 8753,42:05.0,-24:45:16.3,,,,,,,,
PM J02548+2057W,54:49.0,57:34.0,,,,,,,,
PM J06436+0851,43:36.0,51:44.0,,,,,,,,
NLTT 25623,53:12.0,-09:04:28.04,,,,,,,,
PM J11125-3512,12:30.0,-35:12:35.0,,,,,,,,
PM J11263+2047Ee,26:21.0,47:22.0,,,,,,,,
NLTT 33282,13:09.0,-07:42:15.2,,,,,,,,
PM J13133-4153N,13:20.0,-41:53:14.0,,,,,,,,
PM J15413+1349N,41:19.0,49:28.0,,,,,,,,
PM J20072-3519W,07:13.0,-35:19:50.0,,,,,,,,
PM J21442+0102N,44:15.0,02:09.0,,,,,,,,
NLTT 57827,44:27.0,-30:55:16.9,,,,,,,,
PM J21175-4142E,17:32.0,-41:42:17.3,,,,,,,,
