Table name: 3xGaia EDR3
QUERY_STATUS: OK
queryParameters: 9
nTuples: 80
computationTime: 00:00:00,069
STIL_FORMAT: uk.ac.starlink.votable.FitsPlusTableBuilder@27ea7771
+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-------+-----------------+-----------------+------------+------------+-----------+---------------------+-----------------+----------+-----------------+-----------+----------+----------------+---------------------+---------+----------+------------+----------+-------------+---------------------------+--------------------+---------------------+--------------------------+------------------------------+---------------------------+--------------+--------------------+-------------------------+--------+-------------------+------------------+------------------------+-----------------+-------------------+-------------------------+------------------+-------------------+------------------+--------------------------+----------+---------------------+---------------------------+--------------------+----------------------+----------------------+--------------------+---------------------+------------+-----------+-----------------------+------------------------+------------------------+---------------------------+---------------------------------+----------------------------+------------------------------------+--------------------+---------------------+-----------------------+----------+
| PriID           | PriRA       | PriRAdeg           | PriDec      | PriDecdeg           | PripmRA | PripmDEC | PriV  | PriV-J | SecID           | SecRA       | SecRAdeg           | SecDec      | SecDecdeg           | SecpmRA | SecpmDEC | SecV  | SecV-J | Sep   | ra_epoch2000    | dec_epoch2000   | errHalfMaj | errHalfMin | errPosAng | source_id           | ra              | ra_error | dec             | dec_error | parallax | parallax_error | parallax_over_error | pm      | pmra     | pmra_error | pmdec    | pmdec_error | astrometric_n_good_obs_al | astrometric_gof_al | astrometric_chi2_al | astrometric_excess_noise | astrometric_excess_noise_sig | astrometric_params_solved | pseudocolour | pseudocolour_error | visibility_periods_used | ruwe   | duplicated_source | phot_g_mean_flux | phot_g_mean_flux_error | phot_g_mean_mag | phot_bp_mean_flux | phot_bp_mean_flux_error | phot_bp_mean_mag | phot_rp_mean_flux | phot_rp_mean_mag | phot_bp_rp_excess_factor | bp_rp    | dr2_radial_velocity | dr2_radial_velocity_error | dr2_rv_nb_transits | dr2_rv_template_teff | dr2_rv_template_logg | panstarrs1         | sdssdr13            | skymapper2 | urat1     | phot_g_mean_mag_error | phot_bp_mean_mag_error | phot_rp_mean_mag_error | phot_g_mean_mag_corrected | phot_g_mean_mag_error_corrected | phot_g_mean_flux_corrected | phot_bp_rp_excess_factor_corrected | ra_epoch2000_error | dec_epoch2000_error | ra_dec_epoch2000_corr | angDist  |
+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-----------------+-------------+--------------------+-------------+---------------------+---------+----------+-------+--------+-------+-----------------+-----------------+------------+------------+-----------+---------------------+-----------------+----------+-----------------+-----------+----------+----------------+---------------------+---------+----------+------------+----------+-------------+---------------------------+--------------------+---------------------+--------------------------+------------------------------+---------------------------+--------------+--------------------+-------------------------+--------+-------------------+------------------+------------------------+-----------------+-------------------+-------------------------+------------------+-------------------+------------------+--------------------------+----------+---------------------+---------------------------+--------------------+----------------------+----------------------+--------------------+---------------------+------------+-----------+-----------------------+------------------------+------------------------+---------------------------+---------------------------------+----------------------------+------------------------------------+--------------------+---------------------+-----------------------+----------+
| PMI00025-4644   | 00:02:35.66 | 0.6485833333333334 | -46:44:52.0 | -46.74777777777778  | 0.15    | -0.049   | 16.69 | 2.47   | PMI00026-4644   | 00:02:36.21 | 0.650875           | -46:44:57.9 | -46.74941666666667  | 0.15    | -0.049   | 20.01 | 3.06   | 8.1   | 0.64854579797   | -46.74774428464 | 6.19E-4    | 4.318E-4   | 171.17    | 4990299965530127488 | 0.64953461473   | 0.0196   | -46.74813938316 | 0.0278    | 2.1159   | 0.0403         | 52.4667             | 176.474 | 152.448  | 0.027      | -88.896  | 0.038       | 635                       | 1.8515             | 723.84              | 0.09                     | 1.084                        | 31                        |              |                    | 25                      | 1.052  | false             | 7347.86          | 2.26093                | 16.021965       | 2804.25           | 9.92978                 | 16.719002        | 6503.8            | 15.214977        | 1.267                    | 1.504025 |                     |                           | 0                  |                      |                      |                    |                     |            |           | 0.002775              | 0.00475                | 0.004269               | 16.021965                 | 0.002775                        | 7347.86                    | -0.004                             | 0.4371             | 0.6153              | -0.111                | 0.152025 |
| PMI00329+1805   | 00:32:55.80 | 8.232499999999998  | +18:05:52.9 | 18.098027777777776  | 0.095   | -0.065   | 16.08 | 2.44   | PMI00329+1805-2 | 00:32:56.85 | 8.236875           | +18:05:56.5 | 18.099027777777778  | 0.095   | -0.065   | 20.2  | 4.04   | 15.4  | 8.23249937751   | 18.0980529577   | 7.507E-4   | 4.874E-4   | 70.8      | 2794809372118475904 | 8.23299093253   | 0.037    | 18.09774243492  | 0.0219    | 3.0324   | 0.0442         | 68.6124             | 126.228 | 105.128  | 0.045      | -69.868  | 0.032       | 404                       | 3.3615             | 515.49              | 0.129                    | 2.533                        | 31                        |              |                    | 18                      | 1.12   | false             | 10058.3          | 3.64798                | 15.68106        | 3258.17           | 12.1282                 | 16.556107        | 9871.29           | 14.761961        | 1.305                    | 1.794146 |                     |                           | 0                  |                      |                      | 129710082328127929 | 1237679457076052133 |            | 541002904 | 0.002783              | 0.004911               | 0.004061               | 15.68106                  | 0.002783                        | 10058.3                    | -0.002                             | 0.7269             | 0.5223              | 0.2667                | 0.090673 |
| PMI00422+0731E  | 00:42:15.23 | 10.563458333333333 | +07:31:18.7 | 7.521861111111112   | 0.169   | -0.068   | 15.31 | 2.14   | PMI00422+0731W  | 00:42:14.35 | 10.559791666666667 | +07:31:19.9 | 7.5221944444444455  | 0.169   | -0.068   | 18.83 | 2.91   | 13.1  | 10.56346075761  | 7.52183547531   | 5.514E-4   | 3.453E-4   | 75.15     | 2557191577777306752 | 10.56419686835  | 0.0234   | 7.52150917476   | 0.0127    | 2.4605   | 0.0265         | 92.7905             | 179.866 | 164.2    | 0.034      | -73.418  | 0.023       | 367                       | 0.8723             | 393.94              | 0.048                    | 0.8725                       | 31                        |              |                    | 17                      | 1.032  | false             | 27193.0          | 5.38287                | 14.601223       | 12722.1           | 16.2116                 | 15.077142        | 20725.0           | 13.956658        | 1.23                     | 1.120483 |                     |                           | 0                  |                      |                      | 117020105638876449 | 1237669767084834901 |            | 488002400 | 0.002764              | 0.003114               | 0.00386                | 14.601223                 | 0.002764                        | 27193.0                    | 0.002                              | 0.5403             | 0.3625              | 0.2337                | 0.092694 |
| PMI00592+0705N  | 00:59:17.81 | 14.824208333333331 | +07:05:56.4 | 7.099000000000001   | 0.116   | -0.003   | 14.06 | 1.48   | PMI00592+0705S  | 00:59:17.38 | 14.822416666666667 | +07:05:47.0 | 7.096388888888889   | 0.103   | -0.017   | 19.26 | 3.51   | 11.4  | 14.82417905124  | 7.09900535657   | 7.088E-4   | 3.485E-4   | 58.62     | 2577500038578178304 | 14.82470559168  | 0.0285   | 7.09895214814   | 0.0213    | 1.8113   | 0.0356         | 50.9152             | 118.171 | 117.563  | 0.04       | -11.972  | 0.03        | 388                       | 19.8504            | 1243.27             | 0.213                    | 29.48                        | 31                        |              |                    | 17                      | 1.796  | false             | 61682.6          | 11.1665                | 13.711961       | 32610.9           | 34.7097                 | 14.055134        | 42332.4           | 13.181213        | 1.215                    | 0.87392  |                     |                           | 0                  |                      |                      | 116510148244929233 | 1237669766549864477 |            | 486003381 | 0.002762              | 0.00302                | 0.003872               | 13.711961                 | 0.002762                        | 61682.6                    | 0.009                              | 0.6317             | 0.4741              | 0.5655                | 0.10637  |
| NLTT3847        | 01:09:28.97 | 17.370708333333333 | -05:07:25.3 | -5.123694444444444  | 0.743   | 0.044    | 13.43 | 1.78   | NLTT3849        | 01:09:29.34 | 17.372249999999998 | -05:07:30.6 | -5.125166666666667  | 0.743   | 0.044    | 15.91 | 4.19   | 8.0   | 17.37073029056  | -5.12367528325  | 5.128E-4   | 3.68E-4    | 49.08     | 2482910290191753728 | 17.37433038929  | 0.0209   | -5.1237260791   | 0.0158    | 15.7454  | 0.0246         | 640.684             | 806.866 | 806.786  | 0.028      | -11.427  | 0.027       | 239                       | 1.6812             | 259.8               | 0.034                    | 0.4025                       | 31                        |              |                    | 15                      | 1.077  | false             | 34403.4          | 15.4228                | 14.345863       | 7113.36           | 21.2174                 | 15.708355        | 41712.3           | 13.197234        | 1.419                    | 2.511121 |                     |                           | 0                  |                      |                      | 101850173735811913 | 1237679322853670919 | 13842967   |           | 0.002798              | 0.004275               | 0.003853               | 14.345863                 | 0.002798                        | 34403.4                    | 0.011                              | 0.4563             | 0.436               | 0.3172                | 0.104674 |
| PMI01227+1409   | 01:22:43.29 | 20.680374999999998 | +14:09:34.5 | 14.159583333333334  | -0.078  | -0.14    | 10.16 | 1.1    | PMI01226+1409E  | 01:22:41.13 | 20.671375          | +14:09:28.8 | 14.158              | -0.077  | -0.135   | 19.21 | 4.2    | 31.9  | 20.68038130594  | 14.15953424482  | 4.272E-4   | 2.546E-4   | 70.65     | 2590426034713785984 | 20.68003721255  | 0.0222   | 14.15891611765  | 0.0152    | 6.1381   | 0.0265         | 231.6064            | 158.045 | -75.069  | 0.026      | -139.079 | 0.017       | 327                       | 3.7829             | 985.17              | 0.143                    | 27.16                        | 31                        |              |                    | 14                      | 1.152  | false             | 1812310.0        | 297.798                | 10.041788       | 1003590.0         | 474.5                   | 10.334655        | 1171160.0         | 9.576358         | 1.2                      | 0.758297 | -30.27              | 0.4                       | 5                  | 5750.0               | 4.5                  |                    | 1237649919505006653 |            | 521006537 | 0.002761              | 0.002837               | 0.003784               | 10.041788                 | 0.002761                        | 1812310.0                  | 0.004                              | 0.4118             | 0.2789              | 0.3204                | 0.178084 |
| PMI01266-4842W  | 01:26:37.33 | 21.655541666666664 | -48:42:51.0 | -48.714166666666664 | 0.205   | -0.05    | 13.63 | 2.09   | PMI01266-4842E  | 01:26:38.28 | 21.659499999999998 | -48:42:54.9 | -48.71525           | 0.205   | -0.05    | 18.83 | 4.4    | 10.2  | 21.65553593137  | -48.7141637052  | 4.085E-4   | 3.158E-4   | 146.95    | 4929714504018990720 | 21.65636268437  | 0.0181   | -48.71430187506 | 0.0227    | 6.0441   | 0.0269         | 224.5146            | 126.614 | 122.738  | 0.022      | -31.088  | 0.024       | 450                       | 29.2683            | 1904.24             | 0.24                     | 41.91                        | 31                        |              |                    | 28                      | 2.126  | false             | 69935.9          | 12.7618                | 13.575616       | 23792.2           | 21.9231                 | 14.397457        | 67475.7           | 12.675026        | 1.305                    | 1.722431 | 14.87               | 2.31                      | 16                 | 6000.0               | 3.5                  |                    |                     | 504065368  |           | 0.002762              | 0.002964               | 0.003834               | 13.575616                 | 0.002762                        | 69935.9                    | 0.007                              | 0.346              | 0.3833              | -0.2317               | 0.017299 |
| NLTT4817        | 01:26:55.17 | 21.729875000000003 | +12:00:25.9 | 12.007194444444444  | -0.014  | -0.359   | 11.12 | 0.89   | NLTT4814        | 01:26:54.13 | 21.725541666666665 | +12:00:06.8 | 12.001888888888889  | -0.011  | -0.364   | 16.61 | 2.88   | 24.4  | 21.72988144595  | 12.0071763922   | 4.8E-4     | 2.394E-4   | 79.99     | 2586414638338396672 | 21.72982596253  | 0.0191   | 12.00558091638  | 0.014     | 5.4887   | 0.0223         | 246.4791            | 359.195 | -12.211  | 0.03       | -358.988 | 0.015       | 352                       | 1.0409             | 1415.99             | 0.152                    | 35.59                        | 31                        |              |                    | 16                      | 1.039  | false             | 622954.0         | 161.372                | 11.201227       | 350737.0          | 160.041                 | 11.476088        | 395447.0          | 10.755176        | 1.198                    | 0.720912 | -171.85             | 0.74                      | 7                  | 6000.0               | 4.5                  |                    | 1237678919677050931 |            | 511006403 | 0.00277               | 0.002834               | 0.003792               | 11.201227                 | 0.00277                         | 622954.0                   | 0.004                              | 0.4745             | 0.2501              | 0.2496                | 0.068838 |
| PMI01352+0538N  | 01:35:14.71 | 23.81129166666667  | +05:38:24.7 | 5.640194444444445   | 0.285   | -0.035   | 10.8  | 1.54   | PMI01352+0538S  | 01:35:14.24 | 23.80933333333333  | +05:38:12.0 | 5.636666666666667   | 0.267   | -0.026   | 15.86 | 2.89   | 14.4  | 23.81128742204  | 5.64014310519   | 0.0046268  | 0.0022233  | 82.88     | 2561970158390921984 | 23.81256104684  | 0.197    | 5.64000871165   | 0.1197    | 7.9705   | 0.2247         | 35.4651             | 286.776 | 285.178  | 0.285      | -30.239  | 0.139       | 348                       | 152.8875           | 79051.31            | 1.53                     | 2561.0                       | 95                        | 1.4836       | 0.04               | 16                      | 10.835 | false             | 1101770.0        | 519.91                 | 10.582137       | 545916.0          | 196.677                 | 10.995728        | 809883.0          | 9.976839         | 1.231                    | 1.018889 | 15.54               | 2.3                       | 2                  | 5500.0               | 4.5                  |                    | 1237678663045021709 |            | 479005666 | 0.002803              | 0.002817               | 0.003795               | 10.582137                 | 0.002803                        | 1101770.0                  | 0.012                              | 4.5994             | 2.2796              | 0.1933                | 0.185446 |
