PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PMI00025-4644,00:02:35.66,0.6485833333333334,-46:44:52.0,-46.74777777777778,0.15,-0.049,16.69,2.47,PMI00026-4644,00:02:36.21,0.650875,-46:44:57.9,-46.74941666666667,0.15,-0.049,20.01,3.06,8.1,0.65083746962,-46.74951394906,0.0052621,0.0032515,171.94,4990299961234443264,0.65182638346,0.1512,-46.74990970723,0.2236,2.134,0.3183,6.7053,176.557,152.458,0.203,-89.045,0.326,675,0.0078,706.44,0.0,0.0,95,1.3527,0.0572,25,1.0,false,304.689,0.696913,19.477724,69.7745,6.03409,20.7293,355.357,18.371233,1.395,2.358067,,,0,,,,,503919235,,0.003709,0.093936,0.017942,19.462574,0.003686,308.971,0.009,3.3029,5.23,-0.1376,0.362246
PMI00329+1805,00:32:55.80,8.232499999999998,+18:05:52.9,18.098027777777776,0.095,-0.065,16.08,2.44,PMI00329+1805-2,00:32:56.85,8.236875,+18:05:56.5,18.099027777777778,0.095,-0.065,20.2,4.04,15.4,8.23671584523,18.09901065691,0.0064922,0.0040066,66.95,2794809402182408960,8.23720762396,0.3102,18.09869785215,0.1884,3.3981,0.3981,8.5351,126.552,105.175,0.382,-70.381,0.277,383,1.0577,465.1,0.763,1.219,95,1.1679,0.0638,17,1.038,false,312.819,0.808418,19.449133,68.2195,7.46351,20.75377,408.769,18.219202,1.525,2.534569,,,0,,,129710082370489074,1237679457076052243,,,0.003933,0.118817,0.020127,19.430877,0.003899,318.124,0.113,6.1765,4.478,0.3399,0.548084
PMI00422+0731E,00:42:15.23,10.563458333333333,+07:31:18.7,7.521861111111112,0.169,-0.068,15.31,2.14,PMI00422+0731W,00:42:14.35,10.559791666666667,+07:31:19.9,7.5221944444444455,0.169,-0.068,18.83,2.91,13.1,10.5597275577,7.52219521975,0.0035184,0.0021939,78.41,2557191577776849280,10.56046463197,0.1507,7.52186890681,0.0843,2.3484,0.1709,13.7404,180.063,164.415,0.218,-73.421,0.141,367,0.4977,418.94,0.261,0.5987,95,1.2695,0.0348,17,1.018,false,833.404,1.10362,18.385227,217.522,7.3843,19.494781,917.705,17.341137,1.362,2.153645,,,0,,,117020105601316904,1237669767084834902,,488002399,0.003108,0.036963,0.012067,18.373722,0.003101,842.283,0.006,3.4747,2.2624,0.1894,0.228823
PMI00592+0705N,00:59:17.81,14.824208333333331,+07:05:56.4,7.099000000000001,0.116,-0.003,14.06,1.48,PMI00592+0705S,00:59:17.38,14.822416666666667,+07:05:47.0,7.096388888888889,0.103,-0.017,19.26,3.51,11.4,14.82239665694,7.09638455424,0.0035756,0.0018049,59.46,2577500034283666944,14.8229205059,0.1417,7.09632615117,0.1056,1.6018,0.1714,9.3472,117.699,116.963,0.2,-13.141,0.15,384,1.1019,428.44,0.173,0.2381,31,,,17,1.039,false,816.235,1.31638,18.40783,187.776,6.31362,19.654442,960.284,17.291895,1.407,2.362547,,,0,,,116510148227616106,1237669766549864478,,486003379,0.003265,0.036612,0.013022,18.40783,0.003265,816.235,0.02,3.2132,2.3912,0.5427,0.073167
NLTT3847,01:09:28.97,17.370708333333333,-05:07:25.3,-5.123694444444444,0.743,0.044,13.43,1.78,NLTT3849,01:09:29.34,17.372249999999998,-05:07:30.6,-5.125166666666667,0.743,0.044,15.91,4.19,8.0,17.3723412092,-5.1251535631,5.741E-4,3.954E-4,44.0,2482910290191753856,17.37594418022,0.0231,-5.1252022214,0.0178,15.7611,0.0271,580.7196,807.502,807.427,0.031,-10.946,0.031,250,4.2408,338.66,0.082,2.168,31,,,15,1.196,false,30185.4,14.8419,14.487874,5999.43,18.3731,15.893268,37139.2,13.323313,1.429,2.569955,,,0,,,101850173751310182,1237679322853670920,,,0.002807,0.004341,0.003931,14.487874,0.002807,30185.4,0.012,0.4898,0.496,0.3565,0.330425
PMI01227+1409,01:22:43.29,20.680374999999998,+14:09:34.5,14.159583333333334,-0.078,-0.14,10.16,1.1,PMI01226+1409E,01:22:41.13,20.671375,+14:09:28.8,14.158,-0.077,-0.135,19.21,4.2,31.9,20.67137105081,14.15798615006,0.0024985,0.0015424,66.27,2590426030418533120,20.67101755791,0.1317,14.15735803509,0.0888,6.2818,0.1566,40.1169,160.998,-77.12,0.146,-141.326,0.105,307,-2.1744,313.96,0.0,0.0,95,1.2057,0.0281,14,0.912,false,1263.49,1.56473,17.933441,211.438,7.63366,19.525585,1659.84,16.697727,1.481,2.827858,,,0,,,124980206710969576,1237649919505006654,,521006531,0.003066,0.039298,0.010454,17.910356,0.003054,1290.64,0.026,2.37,1.7334,0.3464,0.05173
PMI01266-4842W,01:26:37.33,21.655541666666664,-48:42:51.0,-48.714166666666664,0.205,-0.05,13.63,2.09,PMI01266-4842E,01:26:38.28,21.659499999999998,-48:42:54.9,-48.71525,0.205,-0.05,18.83,4.4,10.2,21.65947059595,-48.71526945192,0.001123,8.782E-4,147.99,4929714504018990848,21.66031483801,0.0494,-48.71540610349,0.0588,6.0747,0.0723,83.9802,129.048,125.332,0.059,-30.746,0.067,462,0.1933,489.8,0.047,0.05873,31,,,28,1.006,false,2087.9,1.48322,17.388092,341.878,7.74259,19.003864,2726.17,16.159016,1.469,2.844849,,,0,,,,,,,0.002861,0.024747,0.004966,17.388092,0.002861,2087.9,0.012,0.9534,1.0599,-0.2179,0.098903
NLTT4817,01:26:55.17,21.729875000000003,+12:00:25.9,12.007194444444444,-0.014,-0.359,11.12,0.89,NLTT4814,01:26:54.13,21.725541666666665,+12:00:06.8,12.001888888888889,-0.011,-0.364,16.61,2.88,24.4,21.72551265562,12.00186552341,9.182E-4,4.52E-4,82.74,2586414432179966720,21.72545729046,0.0387,12.00027166023,0.0263,5.7109,0.0451,126.7366,358.826,-12.185,0.057,-358.619,0.028,322,-1.8043,282.08,0.0,0.0,31,,,16,0.928,false,8962.62,3.71154,15.806279,2781.32,9.05822,16.727913,9000.09,14.862279,1.315,1.865634,,,0,,,,1237678919677050930,,511006400,0.002792,0.004504,0.004098,15.806279,0.002792,8962.62,-0.002,0.9126,0.4632,0.1895,0.132331
PMI01352+0538N,01:35:14.71,23.81129166666667,+05:38:24.7,5.640194444444445,0.285,-0.035,10.8,1.54,PMI01352+0538S,01:35:14.24,23.80933333333333,+05:38:12.0,5.636666666666667,0.267,-0.026,15.86,2.89,14.4,23.80935080235,5.63671559712,0.0032395,0.001778,83.84,2561970158390730752,23.81064677029,0.1596,5.63656079328,0.0937,9.2885,0.1881,49.3797,292.266,290.183,0.2,-34.831,0.109,332,53.6648,4687.23,1.138,145.9,31,,,16,3.714,false,8446.93,10.2264,15.87062,1548.88,8.72359,17.363495,11298.6,14.61533,1.521,2.748165,,,0,,,114760238102284378,1237678663045021711,,479005665,0.003053,0.006722,0.003997,15.87062,0.003053,8446.93,0.077,3.2265,1.8016,0.1345,0.186937
PMI01430-4959W,01:43:00.68,25.752833333333335,-49:59:26.8,-49.99077777777778,0.021,-0.181,14.09,1.22,PMI01430-4959E,01:43:01.27,25.75529166666667,-49:59:22.1,-49.989472222222226,0.021,-0.181,18.15,2.89,7.4,25.75524326902,-49.98947711423,0.0011912,9.966E-4,151.33,4917535930975682944,25.75546090074,0.0543,-49.99023881624,0.0565,2.8635,0.0743,38.5601,174.251,31.482,0.065,-171.383,0.073,419,-0.5662,416.13,0.0,0.0,31,,,28,0.98,false,2112.46,1.57703,17.375397,668.935,8.25539,18.275082,2162.14,16.410688,1.34,1.864393,,,0,,,,,504045455,,0.002872,0.013687,0.006586,17.375397,0.002872,2112.46,0.024,1.0446,1.1493,-0.1493,0.113394
